|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
7;	1216;	1031220;	0.496980;	0.496179;	0;	3976;	3976;	2436
9;	1214;	1031256;	0.496912;	0.497475;	1;	2595;	2667;	2595
13;	1210;	1031242;	0.496773;	0.496755;	0;	3342;	3342;	2490
8;	1215;	1031281;	0.496946;	0.496671;	0;	3328;	3328;	2484
5;	1218;	1031230;	0.497047;	0.496641;	0;	3354;	3354;	2386
8;	1215;	1031365;	0.496946;	0.497480;	0;	2575;	2575;	2517
4;	1219;	1031218;	0.497080;	0.496877;	0;	3288;	3288;	2518
7;	1216;	1031333;	0.496980;	0.496455;	0;	3733;	3733;	2387
8;	1215;	1031108;	0.496946;	0.497261;	0;	2904;	2904;	2472
9;	1214;	1031129;	0.496912;	0.496121;	0;	4011;	4011;	2767
9;	1214;	1031388;	0.496912;	0.496915;	0;	3231;	3231;	2383
11;	1212;	1031323;	0.496843;	0.496771;	0;	3353;	3353;	2305
8;	1215;	1031295;	0.496946;	0.496453;	0;	3623;	3623;	2689
10;	1213;	1031209;	0.496878;	0.497634;	0;	2444;	2444;	2382
7;	1216;	1031442;	0.496980;	0.496539;	0;	3552;	3552;	2466
7;	1216;	1031378;	0.496980;	0.498026;	158;	1863;	2535;	2439
8;	1215;	1031212;	0.496946;	0.496403;	0;	3726;	3726;	2416
5;	1218;	1031283;	0.497047;	0.498065;	52;	2006;	2564;	2514
10;	1213;	1031105;	0.496878;	0.497132;	0;	2845;	2845;	2527
5;	1218;	1031131;	0.497047;	0.497133;	0;	2798;	2798;	2532
7;	1216;	1031323;	0.496980;	0.497468;	0;	2625;	2625;	2331
8;	1215;	1031252;	0.496946;	0.496863;	0;	3219;	3219;	2735
9;	1214;	1031315;	0.496912;	0.496836;	0;	3181;	3181;	2719
15;	1208;	1031337;	0.496702;	0.497429;	0;	2679;	2679;	2517
7;	1216;	1031245;	0.496980;	0.496771;	0;	3388;	3388;	2416
11;	1212;	1031242;	0.496843;	0.497423;	1;	2694;	2898;	2694
9;	1214;	1031236;	0.496912;	0.497272;	0;	2780;	2780;	2382
11;	1212;	1031395;	0.496843;	0.495987;	0;	4055;	4055;	2611
7;	1216;	1031264;	0.496980;	0.496778;	0;	3252;	3252;	2442
12;	1211;	1031123;	0.496808;	0.497430;	0;	2623;	2623;	2509
6;	1217;	1031226;	0.497014;	0.497752;	2;	2361;	2425;	2385
11;	1212;	1031167;	0.496843;	0.496211;	0;	3975;	3975;	2475
9;	1214;	1031519;	0.496912;	0.496932;	0;	3188;	3188;	2636
10;	1213;	1031334;	0.496878;	0.496320;	0;	3754;	3754;	2632
7;	1216;	1031330;	0.496980;	0.497231;	0;	2940;	2940;	2468
10;	1213;	1031244;	0.496878;	0.496641;	0;	3502;	3502;	2588
8;	1215;	1031243;	0.496946;	0.496630;	0;	3453;	3453;	2317
8;	1215;	1031412;	0.496946;	0.496842;	0;	3435;	3435;	2461
7;	1216;	1031151;	0.496980;	0.497774;	2;	2393;	2649;	2487
6;	1217;	1031317;	0.497014;	0.497494;	0;	2571;	2571;	2447
8;	1215;	1031298;	0.496946;	0.497242;	0;	2796;	2796;	2364
10;	1213;	1031111;	0.496878;	0.497255;	0;	2840;	2840;	2410
9;	1214;	1031192;	0.496912;	0.496550;	0;	3663;	3663;	2633
7;	1216;	1031224;	0.496980;	0.497299;	0;	2794;	2794;	2536
12;	1211;	1031072;	0.496808;	0.496267;	0;	3948;	3948;	2406
2;	1221;	1031285;	0.497146;	0.497098;	0;	2965;	2965;	2449
10;	1213;	1031415;	0.496878;	0.496301;	0;	3809;	3809;	2631
7;	1216;	1031242;	0.496980;	0.497663;	5;	2345;	2517;	2445
7;	1216;	1031144;	0.496980;	0.497845;	8;	2245;	2457;	2331
6;	1217;	1031044;	0.497014;	0.496521;	0;	3512;	3512;	2550
9;	1214;	1031194;	0.496912;	0.496562;	0;	3619;	3619;	2499
11;	1212;	1031150;	0.496843;	0.497607;	0;	2520;	2520;	2440
11;	1212;	1031296;	0.496843;	0.497232;	0;	2885;	2885;	2511
6;	1217;	1031051;	0.497014;	0.497100;	0;	2969;	2969;	2623
9;	1214;	1031232;	0.496912;	0.496788;	0;	3318;	3318;	2542
7;	1216;	1031272;	0.496980;	0.497348;	0;	2780;	2780;	2482
9;	1214;	1031146;	0.496912;	0.497137;	0;	2847;	2847;	2459
9;	1214;	1031270;	0.496912;	0.497156;	0;	2875;	2875;	2559
8;	1215;	1031143;	0.496946;	0.496714;	0;	3459;	3459;	2291
6;	1217;	1031270;	0.497014;	0.497364;	0;	2738;	2738;	2724
7;	1216;	1031072;	0.496980;	0.497399;	0;	2866;	2866;	2418
5;	1218;	1031246;	0.497047;	0.496809;	0;	3264;	3264;	2426
4;	1219;	1031145;	0.497080;	0.496986;	0;	3070;	3070;	2360
5;	1218;	1031131;	0.497047;	0.497428;	0;	2594;	2594;	2532
5;	1218;	1031060;	0.497047;	0.498171;	133;	1888;	2584;	2408
8;	1215;	1031142;	0.496946;	0.496782;	0;	3259;	3259;	2625
9;	1214;	1031105;	0.496912;	0.496580;	0;	3463;	3463;	2431
8;	1215;	1031162;	0.496946;	0.496987;	0;	3026;	3026;	2578
10;	1213;	1031398;	0.496878;	0.497518;	0;	2507;	2507;	2411
6;	1217;	1031225;	0.497014;	0.497038;	0;	3015;	3015;	2641
10;	1213;	1031094;	0.496878;	0.497093;	0;	2895;	2895;	2531
9;	1214;	1031380;	0.496912;	0.496954;	0;	3182;	3182;	2450
6;	1217;	1031198;	0.497014;	0.496331;	0;	3729;	3729;	2561
5;	1218;	1031320;	0.497047;	0.497622;	1;	2446;	2568;	2446
15;	1208;	1031520;	0.496702;	0.495793;	0;	4319;	4319;	2875
9;	1214;	1031277;	0.496912;	0.497184;	0;	2909;	2909;	2473
10;	1213;	1031168;	0.496878;	0.496977;	0;	3039;	3039;	2361
6;	1217;	1031110;	0.497014;	0.497092;	0;	2981;	2981;	2523
7;	1216;	1031264;	0.496980;	0.496992;	0;	3088;	3088;	2512
10;	1213;	1031138;	0.496878;	0.497506;	2;	2506;	2640;	2516
9;	1214;	1031225;	0.496912;	0.496520;	0;	3540;	3540;	2462
9;	1214;	1031299;	0.496912;	0.496653;	0;	3394;	3394;	2392
6;	1217;	1031202;	0.497014;	0.497215;	0;	2833;	2833;	2549
7;	1216;	1031446;	0.496980;	0.497579;	1;	2400;	2640;	2400
8;	1215;	1031196;	0.496946;	0.496791;	0;	3301;	3301;	2503
6;	1217;	1031430;	0.497014;	0.497229;	0;	2813;	2813;	2581
11;	1212;	1031390;	0.496843;	0.496967;	0;	3121;	3121;	2543
10;	1213;	1031420;	0.496878;	0.496943;	0;	3082;	3082;	2462
9;	1214;	1031281;	0.496912;	0.497365;	0;	2743;	2743;	2363
9;	1214;	1031088;	0.496912;	0.496403;	0;	3750;	3750;	2424
6;	1217;	1031290;	0.497014;	0.498261;	286;	1764;	2850;	2356
9;	1214;	1031376;	0.496912;	0.496889;	0;	3230;	3230;	2518
4;	1219;	1031363;	0.497080;	0.496470;	0;	3666;	3666;	2684
5;	1218;	1031374;	0.497047;	0.496067;	0;	4058;	4058;	2550
7;	1216;	1031162;	0.496980;	0.497227;	0;	2816;	2816;	2390
8;	1215;	1031336;	0.496946;	0.496762;	0;	3278;	3278;	2568
4;	1219;	1031421;	0.497080;	0.496756;	0;	3403;	3403;	2561
8;	1215;	1031293;	0.496946;	0.496792;	0;	3357;	3357;	2357
10;	1213;	1031280;	0.496878;	0.496254;	0;	3810;	3810;	2346
8;	1215;	1031435;	0.496946;	0.497269;	0;	2785;	2785;	2603
9;	1214;	1031314;	0.496912;	0.497379;	1;	2671;	2793;	2671
6;	1217;	1031239;	0.497014;	0.496876;	0;	3178;	3178;	2600
7;	1216;	1031369;	0.496980;	0.497618;	2;	2393;	2465;	2427
9;	1214;	1031303;	0.496912;	0.496875;	0;	3251;	3251;	2613
8;	1215;	1031300;	0.496946;	0.496557;	0;	3516;	3516;	2308
4;	1219;	1031410;	0.497080;	0.496544;	0;	3554;	3554;	2706
6;	1217;	1031156;	0.497014;	0.496352;	0;	3822;	3822;	2488
15;	1208;	1031320;	0.496702;	0.496767;	0;	3326;	3326;	2436
9;	1214;	1031305;	0.496912;	0.497036;	0;	3000;	3000;	2526
9;	1214;	1031255;	0.496912;	0.497006;	0;	3040;	3040;	2570
11;	1212;	1031230;	0.496843;	0.496774;	0;	3391;	3391;	2493
7;	1216;	1031572;	0.496980;	0.497687;	1;	2481;	2733;	2481
9;	1214;	1031325;	0.496912;	0.495852;	0;	4316;	4316;	2408
7;	1216;	1031350;	0.496980;	0.496721;	0;	3369;	3369;	2567
12;	1211;	1031273;	0.496808;	0.496836;	0;	3203;	3203;	2377
12;	1211;	1030937;	0.496808;	0.497178;	0;	3032;	3032;	2418
8;	1215;	1031145;	0.496946;	0.496067;	0;	4046;	4046;	2428
8;	1215;	1031209;	0.496946;	0.497062;	0;	2995;	2995;	2597
8;	1215;	1031207;	0.496946;	0.497230;	0;	2949;	2949;	2485
4;	1219;	1031346;	0.497080;	0.497402;	0;	2693;	2693;	2367
10;	1213;	1030959;	0.496878;	0.496918;	0;	3122;	3122;	2694
10;	1213;	1031096;	0.496878;	0.496264;	0;	3848;	3848;	2490
6;	1217;	1031480;	0.497014;	0.497548;	1;	2524;	2908;	2524
4;	1219;	1031131;	0.497080;	0.497039;	0;	3081;	3081;	2635
11;	1212;	1031219;	0.496843;	0.496293;	0;	3812;	3812;	2412
10;	1213;	1031030;	0.496878;	0.497019;	0;	3194;	3194;	2462
7;	1216;	1031328;	0.496980;	0.497217;	0;	2845;	2845;	2727
8;	1215;	1031198;	0.496946;	0.497180;	0;	2933;	2933;	2305
6;	1217;	1031280;	0.497014;	0.497108;	0;	3061;	3061;	2779
10;	1213;	1031362;	0.496878;	0.497109;	0;	2930;	2930;	2320
9;	1214;	1031267;	0.496912;	0.496965;	0;	3125;	3125;	2369
8;	1215;	1031390;	0.496946;	0.496989;	0;	3151;	3151;	2359
4;	1219;	1031224;	0.497080;	0.497785;	2;	2353;	2579;	2467
9;	1214;	1031341;	0.496912;	0.496059;	0;	3953;	3953;	2693
5;	1218;	1031277;	0.497047;	0.497008;	0;	2987;	2987;	2485
6;	1217;	1031131;	0.497014;	0.497075;	0;	3036;	3036;	2502
9;	1214;	1031179;	0.496912;	0.497240;	0;	2912;	2912;	2604
9;	1214;	1031306;	0.496912;	0.497350;	0;	2697;	2697;	2689
13;	1210;	1031180;	0.496773;	0.496565;	0;	3548;	3548;	2442
13;	1210;	1031396;	0.496773;	0.496695;	0;	3498;	3498;	2378
4;	1219;	1031161;	0.497080;	0.497527;	0;	2448;	2448;	2366
6;	1217;	1030960;	0.497014;	0.497718;	1;	2359;	2389;	2359
7;	1216;	1031356;	0.496980;	0.496986;	0;	3181;	3181;	2507
12;	1211;	1031234;	0.496808;	0.497002;	0;	2978;	2978;	2504
6;	1217;	1031305;	0.497014;	0.497098;	0;	3031;	3031;	2441
7;	1216;	1031199;	0.496980;	0.496910;	0;	3127;	3127;	2529
7;	1216;	1031241;	0.496980;	0.496832;	0;	3257;	3257;	2519
10;	1213;	1031340;	0.496878;	0.497336;	0;	2888;	2888;	2638
8;	1215;	1031256;	0.496946;	0.497646;	1;	2393;	2425;	2393
9;	1214;	1031282;	0.496912;	0.496177;	0;	3898;	3898;	2350
10;	1213;	1031111;	0.496878;	0.497107;	0;	2865;	2865;	2323
6;	1217;	1031209;	0.497014;	0.497243;	0;	2859;	2859;	2477
7;	1216;	1031250;	0.496980;	0.496719;	0;	3344;	3344;	2432
10;	1213;	1031401;	0.496878;	0.497036;	0;	3134;	3134;	2416
9;	1214;	1031246;	0.496912;	0.496142;	0;	4123;	4123;	2491
8;	1215;	1031392;	0.496946;	0.496827;	0;	3300;	3300;	2616
9;	1214;	1031131;	0.496912;	0.497010;	0;	3035;	3035;	2463
7;	1216;	1031571;	0.496980;	0.496577;	0;	3582;	3582;	2566
7;	1216;	1031319;	0.496980;	0.497617;	0;	2480;	2480;	2462
8;	1215;	1031308;	0.496946;	0.497462;	0;	2596;	2596;	2480
9;	1214;	1031501;	0.496912;	0.496285;	0;	3805;	3805;	2475
7;	1216;	1031449;	0.496980;	0.497396;	0;	2770;	2770;	2570
7;	1216;	1031321;	0.496980;	0.496787;	0;	3287;	3287;	2455
7;	1216;	1031263;	0.496980;	0.496275;	0;	3839;	3839;	2345
9;	1214;	1031409;	0.496912;	0.497379;	0;	2803;	2803;	2491
9;	1214;	1031342;	0.496912;	0.497236;	0;	2849;	2849;	2441
11;	1212;	1031110;	0.496843;	0.496999;	0;	3158;	3158;	2472
8;	1215;	1031217;	0.496946;	0.496890;	0;	3268;	3268;	2592
7;	1216;	1031119;	0.496980;	0.496828;	0;	3234;	3234;	2708
6;	1217;	1031490;	0.497014;	0.497294;	1;	2783;	2977;	2783
10;	1213;	1031353;	0.496878;	0.496495;	0;	3614;	3614;	2548
8;	1215;	1031022;	0.496946;	0.497115;	0;	2917;	2917;	2483
9;	1214;	1031311;	0.496912;	0.498327;	311;	1752;	2584;	2470
7;	1216;	1031327;	0.496980;	0.497469;	1;	2568;	2698;	2568
9;	1214;	1031162;	0.496912;	0.497409;	0;	2549;	2549;	2479
10;	1213;	1031418;	0.496878;	0.496487;	0;	3579;	3579;	2441
4;	1219;	1031416;	0.497080;	0.496740;	0;	3418;	3418;	2300
10;	1213;	1031171;	0.496878;	0.496935;	0;	3111;	3111;	2641
8;	1215;	1031343;	0.496946;	0.497062;	0;	3059;	3059;	2685
7;	1216;	1031425;	0.496980;	0.496737;	0;	3307;	3307;	2475
8;	1215;	1031477;	0.496946;	0.496934;	0;	3138;	3138;	2326
3;	1220;	1031247;	0.497113;	0.496985;	0;	3005;	3005;	2345
10;	1213;	1031226;	0.496878;	0.496623;	0;	3519;	3519;	2575
7;	1216;	1031396;	0.496980;	0.497443;	1;	2611;	2915;	2611
6;	1217;	1031234;	0.497014;	0.497126;	0;	3007;	3007;	2425
9;	1214;	1031071;	0.496912;	0.496320;	0;	3825;	3825;	2489
10;	1213;	1031315;	0.496878;	0.497639;	5;	2354;	2510;	2504
10;	1213;	1031142;	0.496878;	0.498049;	136;	1883;	2469;	2361
9;	1214;	1031284;	0.496912;	0.496820;	0;	3217;	3217;	2475
10;	1213;	1031402;	0.496878;	0.497739;	2;	2323;	2451;	2327
5;	1218;	1031044;	0.497047;	0.496329;	0;	3715;	3715;	2555
12;	1211;	1031329;	0.496808;	0.496853;	0;	3219;	3219;	2375
9;	1214;	1031446;	0.496912;	0.497055;	0;	3070;	3070;	2368
9;	1214;	1031334;	0.496912;	0.497062;	0;	3033;	3033;	2479
7;	1216;	1031498;	0.496980;	0.497539;	0;	2572;	2572;	2542
11;	1212;	1031281;	0.496843;	0.496952;	0;	3162;	3162;	2572
6;	1217;	1031491;	0.497014;	0.497381;	0;	2681;	2681;	2505
9;	1214;	1031409;	0.496912;	0.496307;	0;	3817;	3817;	2599
9;	1214;	1031236;	0.496912;	0.497058;	0;	3099;	3099;	2499
5;	1218;	1031283;	0.497047;	0.496749;	0;	3338;	3338;	2644
8;	1215;	1031310;	0.496946;	0.497844;	5;	2277;	2647;	2411
8;	1215;	1031319;	0.496946;	0.497045;	0;	3051;	3051;	2409
8;	1215;	1031241;	0.496946;	0.496907;	0;	3224;	3224;	2374
8;	1215;	1031259;	0.496946;	0.497061;	0;	3015;	3015;	2403
11;	1212;	1031219;	0.496843;	0.497230;	0;	2880;	2880;	2480
6;	1217;	1031281;	0.497014;	0.497201;	0;	2961;	2961;	2405
11;	1212;	1031333;	0.496843;	0.496957;	0;	3211;	3211;	2597
11;	1212;	1031237;	0.496843;	0.496836;	0;	3326;	3326;	2476
8;	1215;	1031421;	0.496946;	0.496550;	0;	3466;	3466;	2400
7;	1216;	1031376;	0.496980;	0.496515;	0;	3600;	3600;	2604
11;	1212;	1031179;	0.496843;	0.496802;	0;	3306;	3306;	2576
8;	1215;	1031081;	0.496946;	0.496513;	0;	3679;	3679;	2465
11;	1212;	1031363;	0.496843;	0.498144;	106;	1901;	2455;	2451
8;	1215;	1031287;	0.496946;	0.496916;	0;	3101;	3101;	2731
11;	1212;	1031385;	0.496843;	0.496022;	0;	4143;	4143;	2391
11;	1212;	1031382;	0.496843;	0.496344;	0;	3806;	3806;	2498
5;	1218;	1031006;	0.497047;	0.496861;	0;	3279;	3279;	2611
9;	1214;	1031103;	0.496912;	0.497058;	0;	2999;	2999;	2513
6;	1217;	1031145;	0.497014;	0.496619;	0;	3557;	3557;	2833
8;	1215;	1031119;	0.496946;	0.498077;	55;	2009;	2525;	2463
6;	1217;	1031354;	0.497014;	0.496658;	0;	3407;	3407;	2723
6;	1217;	1031202;	0.497014;	0.497256;	0;	2777;	2777;	2409
9;	1214;	1031353;	0.496912;	0.496970;	0;	3282;	3282;	2484
10;	1213;	1031130;	0.496878;	0.496663;	0;	3398;	3398;	2444
10;	1213;	1031260;	0.496878;	0.497041;	0;	3000;	3000;	2424
10;	1213;	1031206;	0.496878;	0.496829;	0;	3342;	3342;	2334
10;	1213;	1031228;	0.496878;	0.497372;	0;	2706;	2706;	2460
9;	1214;	1031078;	0.496912;	0.496481;	0;	3580;	3580;	2392
9;	1214;	1031220;	0.496912;	0.497123;	0;	2974;	2974;	2366
7;	1216;	1031107;	0.496980;	0.497671;	1;	2438;	2618;	2438
7;	1216;	1031322;	0.496980;	0.496605;	0;	3463;	3463;	2761
6;	1217;	1031255;	0.497014;	0.497845;	5;	2297;	2601;	2391
7;	1216;	1031631;	0.496980;	0.496368;	0;	3860;	3860;	2324
10;	1213;	1031258;	0.496878;	0.497508;	0;	2482;	2482;	2472
9;	1214;	1031093;	0.496912;	0.496552;	0;	3527;	3527;	2435
10;	1213;	1031031;	0.496878;	0.496752;	0;	3411;	3411;	2669
11;	1212;	1031311;	0.496843;	0.496493;	0;	3612;	3612;	2514
10;	1213;	1031395;	0.496878;	0.496688;	0;	3380;	3380;	2526
12;	1211;	1031288;	0.496808;	0.497033;	0;	3047;	3047;	2481
12;	1211;	1031336;	0.496808;	0.496969;	0;	3063;	3063;	2777
9;	1214;	1031151;	0.496912;	0.496840;	0;	3204;	3204;	2598
10;	1213;	1031295;	0.496878;	0.496517;	0;	3659;	3659;	2455
11;	1212;	1031424;	0.496843;	0.496776;	0;	3259;	3259;	2363
4;	1219;	1031120;	0.497080;	0.497672;	1;	2475;	2537;	2475
7;	1216;	1031009;	0.496980;	0.497075;	0;	3001;	3001;	2411
11;	1212;	1031289;	0.496843;	0.497010;	0;	3064;	3064;	2466
9;	1214;	1031237;	0.496912;	0.496211;	0;	3867;	3867;	2643
5;	1218;	1031185;	0.497047;	0.496624;	0;	3593;	3593;	2483
3;	1220;	1031473;	0.497113;	0.496818;	0;	3241;	3241;	2971
7;	1216;	1031388;	0.496980;	0.497488;	0;	2650;	2650;	2486
8;	1215;	1031489;	0.496946;	0.496457;	0;	3648;	3648;	2478
7;	1216;	1031110;	0.496980;	0.496969;	0;	3071;	3071;	2401
11;	1212;	1031288;	0.496843;	0.497078;	0;	3056;	3056;	2344
8;	1215;	1031107;	0.496946;	0.497503;	0;	2484;	2484;	2470
9;	1214;	1031189;	0.496912;	0.497307;	0;	2767;	2767;	2519
6;	1217;	1030874;	0.497014;	0.495988;	0;	4100;	4100;	2596
13;	1210;	1031173;	0.496773;	0.496064;	0;	4125;	4125;	2287
7;	1216;	1031304;	0.496980;	0.496674;	0;	3520;	3520;	2538
6;	1217;	1031074;	0.497014;	0.496535;	0;	3600;	3600;	2630
6;	1217;	1031237;	0.497014;	0.496602;	0;	3595;	3595;	2509
4;	1219;	1031110;	0.497080;	0.496651;	0;	3530;	3530;	2570
8;	1215;	1031274;	0.496946;	0.497204;	0;	2873;	2873;	2359
12;	1211;	1031339;	0.496808;	0.497363;	0;	2664;	2664;	2546
10;	1213;	1031192;	0.496878;	0.495899;	0;	4301;	4301;	2505
10;	1213;	1031238;	0.496878;	0.496824;	0;	3328;	3328;	2480
5;	1218;	1031307;	0.497047;	0.497613;	0;	2352;	2352;	2272
14;	1209;	1031260;	0.496738;	0.496693;	0;	3426;	3426;	2398
8;	1215;	1031079;	0.496946;	0.497005;	0;	3148;	3148;	2382
10;	1213;	1031383;	0.496878;	0.496494;	0;	3608;	3608;	2450
11;	1212;	1030913;	0.496843;	0.496479;	0;	3668;	3668;	2354
5;	1218;	1031141;	0.497047;	0.497593;	0;	2538;	2538;	2346
8;	1215;	1031205;	0.496946;	0.496713;	0;	3397;	3397;	2479
7;	1216;	1031226;	0.496980;	0.497379;	0;	2645;	2645;	2461
12;	1211;	1031325;	0.496808;	0.496542;	0;	3620;	3620;	2550
7;	1216;	1031307;	0.496980;	0.497724;	1;	2407;	2467;	2407
12;	1211;	1031316;	0.496808;	0.497084;	0;	2964;	2964;	2542
10;	1213;	1031214;	0.496878;	0.497603;	0;	2513;	2513;	2429
5;	1218;	1031032;	0.497047;	0.497142;	0;	2938;	2938;	2674
8;	1215;	1031232;	0.496946;	0.497398;	0;	2636;	2636;	2508
11;	1212;	1031399;	0.496843;	0.496783;	0;	3303;	3303;	2547
4;	1219;	1031169;	0.497080;	0.497693;	0;	2452;	2452;	2370
9;	1214;	1031395;	0.496912;	0.496828;	0;	3381;	3381;	2549
6;	1217;	1031249;	0.497014;	0.497461;	0;	2497;	2497;	2429
13;	1210;	1031526;	0.496773;	0.496784;	0;	3311;	3311;	2357
8;	1215;	1031598;	0.496946;	0.496683;	0;	3486;	3486;	2624
4;	1219;	1031226;	0.497080;	0.497565;	0;	2534;	2534;	2368
9;	1214;	1031219;	0.496912;	0.496290;	0;	3749;	3749;	2555
9;	1214;	1031574;	0.496912;	0.497105;	0;	2989;	2989;	2389
8;	1215;	1031590;	0.496946;	0.496844;	0;	3295;	3295;	2441
9;	1214;	1031324;	0.496912;	0.497888;	9;	2162;	2546;	2400
9;	1214;	1031351;	0.496912;	0.496812;	0;	3317;	3317;	2359
5;	1218;	1031184;	0.497047;	0.496157;	0;	3893;	3893;	2665
6;	1217;	1031380;	0.497014;	0.497332;	0;	2724;	2724;	2454
6;	1217;	1031483;	0.497014;	0.497811;	8;	2293;	2587;	2457
8;	1215;	1031350;	0.496946;	0.496891;	0;	3242;	3242;	2688
6;	1217;	1030900;	0.497014;	0.496821;	0;	3343;	3343;	2285
11;	1212;	1031064;	0.496843;	0.496285;	0;	3822;	3822;	2458
7;	1216;	1031379;	0.496980;	0.496887;	0;	3253;	3253;	2373
9;	1214;	1031255;	0.496912;	0.496649;	0;	3602;	3602;	2418
5;	1218;	1031240;	0.497047;	0.497634;	1;	2402;	2752;	2402
6;	1217;	1031357;	0.497014;	0.497004;	0;	3072;	3072;	2498
7;	1216;	1031203;	0.496980;	0.496527;	0;	3552;	3552;	2644
4;	1219;	1031358;	0.497080;	0.496622;	0;	3384;	3384;	2484
7;	1216;	1031241;	0.496980;	0.496560;	0;	3601;	3601;	2381
6;	1217;	1031024;	0.497014;	0.496571;	0;	3543;	3543;	2339
6;	1217;	1031103;	0.497014;	0.496613;	0;	3631;	3631;	2505
6;	1217;	1031102;	0.497014;	0.496645;	0;	3384;	3384;	2780
9;	1214;	1031346;	0.496912;	0.497939;	38;	2082;	2458;	2392
10;	1213;	1031303;	0.496878;	0.496446;	0;	3704;	3704;	2372
10;	1213;	1031381;	0.496878;	0.497227;	0;	2942;	2942;	2368
9;	1214;	1031122;	0.496912;	0.497769;	7;	2316;	2454;	2384
8;	1215;	1031216;	0.496946;	0.497575;	0;	2545;	2545;	2441
10;	1213;	1031310;	0.496878;	0.496296;	0;	3777;	3777;	2295
5;	1218;	1031355;	0.497047;	0.497481;	0;	2647;	2647;	2601
12;	1211;	1030842;	0.496808;	0.497254;	0;	2872;	2872;	2408
9;	1214;	1031156;	0.496912;	0.497157;	0;	2970;	2970;	2588
13;	1210;	1031236;	0.496773;	0.496110;	0;	4065;	4065;	2467
8;	1215;	1031198;	0.496946;	0.497804;	4;	2330;	2716;	2632
11;	1212;	1031362;	0.496843;	0.497107;	0;	2903;	2903;	2749
9;	1214;	1031479;	0.496912;	0.496258;	0;	3904;	3904;	2448
9;	1214;	1031437;	0.496912;	0.496351;	0;	3799;	3799;	2489
6;	1217;	1031138;	0.497014;	0.496933;	0;	3131;	3131;	2449
10;	1213;	1031177;	0.496878;	0.496525;	0;	3651;	3651;	2503
9;	1214;	1031187;	0.496912;	0.497181;	0;	2995;	2995;	2649
11;	1212;	1031523;	0.496843;	0.497220;	0;	2919;	2919;	2329
6;	1217;	1031220;	0.497014;	0.496280;	0;	3828;	3828;	2490
10;	1213;	1031025;	0.496878;	0.497979;	12;	2199;	2463;	2379
6;	1217;	1031202;	0.497014;	0.496714;	0;	3492;	3492;	2484
5;	1218;	1031143;	0.497047;	0.496714;	0;	3414;	3414;	2244
11;	1212;	1031377;	0.496843;	0.496163;	0;	3968;	3968;	2576
8;	1215;	1031303;	0.496946;	0.496510;	0;	3665;	3665;	2407
8;	1215;	1031253;	0.496946;	0.497608;	0;	2529;	2529;	2371
4;	1219;	1031031;	0.497080;	0.497448;	0;	2630;	2630;	2608
11;	1212;	1031062;	0.496843;	0.496501;	0;	3638;	3638;	2304
8;	1215;	1030874;	0.496946;	0.496817;	0;	3251;	3251;	2357
9;	1214;	1031199;	0.496912;	0.496860;	0;	3299;	3299;	2707
11;	1212;	1031467;	0.496843;	0.496457;	0;	3506;	3506;	2376
2;	1221;	1031278;	0.497146;	0.496065;	0;	4058;	4058;	2528
7;	1216;	1031095;	0.496980;	0.496496;	0;	3623;	3623;	2453
8;	1215;	1031458;	0.496946;	0.496823;	0;	3309;	3309;	2611
12;	1211;	1031284;	0.496808;	0.496150;	0;	4060;	4060;	2390
6;	1217;	1031133;	0.497014;	0.496501;	0;	3625;	3625;	2553
6;	1217;	1031247;	0.497014;	0.496777;	0;	3453;	3453;	2423
14;	1209;	1031287;	0.496738;	0.495549;	0;	4584;	4584;	2550
12;	1211;	1030991;	0.496808;	0.497317;	0;	2689;	2689;	2409
10;	1213;	1031384;	0.496878;	0.496697;	0;	3506;	3506;	2386
11;	1212;	1031102;	0.496843;	0.496608;	0;	3512;	3512;	2624
10;	1213;	1031330;	0.496878;	0.496775;	0;	3281;	3281;	2539
7;	1216;	1031291;	0.496980;	0.496708;	0;	3536;	3536;	2542
8;	1215;	1031251;	0.496946;	0.497373;	0;	2740;	2740;	2512
6;	1217;	1031071;	0.497014;	0.496875;	0;	3209;	3209;	2551
7;	1216;	1031137;	0.496980;	0.496984;	0;	2998;	2998;	2446
8;	1215;	1031396;	0.496946;	0.496558;	0;	3526;	3526;	2476
10;	1213;	1031077;	0.496878;	0.496964;	0;	3152;	3152;	2596
5;	1218;	1031224;	0.497047;	0.496780;	0;	3329;	3329;	2541
4;	1219;	1031250;	0.497080;	0.496186;	0;	3988;	3988;	2464
8;	1215;	1031342;	0.496946;	0.495513;	0;	4616;	4616;	2554
7;	1216;	1031159;	0.496980;	0.497285;	0;	2800;	2800;	2714
5;	1218;	1031065;	0.497047;	0.496801;	0;	3328;	3328;	2676
5;	1218;	1031213;	0.497047;	0.497091;	0;	3032;	3032;	2494
2;	1221;	1031027;	0.497146;	0.496243;	0;	3893;	3893;	2243
10;	1213;	1031037;	0.496878;	0.497736;	7;	2290;	2642;	2456
7;	1216;	1031167;	0.496980;	0.497393;	0;	2684;	2684;	2482
11;	1212;	1031137;	0.496843;	0.496866;	0;	3186;	3186;	2630
8;	1215;	1031290;	0.496946;	0.496927;	0;	3130;	3130;	2346
8;	1215;	1031370;	0.496946;	0.496392;	0;	3688;	3688;	2354
