|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
6;	1217;	1031319;	0.497014;	0.496732;	0;	3467;	3467;	2363
10;	1213;	1031423;	0.496878;	0.496710;	0;	3464;	3464;	2486
7;	1216;	1031477;	0.496980;	0.496458;	0;	3652;	3652;	2482
10;	1213;	1031160;	0.496878;	0.495872;	0;	4148;	4148;	2444
9;	1214;	1031320;	0.496912;	0.497340;	0;	2755;	2755;	2541
9;	1214;	1031346;	0.496912;	0.497486;	0;	2540;	2540;	2442
8;	1215;	1031104;	0.496946;	0.496878;	0;	3231;	3231;	2499
9;	1214;	1031238;	0.496912;	0.497819;	0;	2316;	2316;	2292
11;	1212;	1031116;	0.496843;	0.496867;	0;	3173;	3173;	2415
6;	1217;	1030895;	0.497014;	0.496568;	0;	3544;	3544;	2522
7;	1216;	1031181;	0.496980;	0.497163;	0;	2880;	2880;	2386
6;	1217;	1031451;	0.497014;	0.496701;	0;	3352;	3352;	2590
10;	1213;	1031132;	0.496878;	0.496079;	0;	3985;	3985;	2461
7;	1216;	1031349;	0.496980;	0.497517;	0;	2526;	2526;	2466
8;	1215;	1031137;	0.496946;	0.498261;	135;	1882;	2334;	2312
13;	1210;	1031287;	0.496773;	0.496469;	0;	3526;	3526;	2478
10;	1213;	1031278;	0.496878;	0.496389;	0;	3670;	3670;	2398
10;	1213;	1031211;	0.496878;	0.496611;	0;	3438;	3438;	2578
