|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
4;	38;	21720;	0.483625;	0.482320;	104;	364;	458;	442
3;	39;	21750;	0.485553;	0.485149;	244;	344;	506;	492
5;	37;	21609;	0.481493;	0.484752;	2892;	262;	488;	484
3;	39;	21830;	0.485553;	0.476821;	0;	581;	581;	507
3;	39;	21552;	0.485553;	0.489514;	252;	340;	490;	476
6;	36;	21545;	0.479139;	0.477048;	0;	485;	485;	469
3;	39;	21534;	0.485553;	0.485093;	1380;	287;	489;	473
5;	37;	21507;	0.481493;	0.487237;	2357;	268;	466;	460
2;	40;	21693;	0.487291;	0.490343;	47021;	138;	470;	446
6;	36;	21847;	0.479139;	0.477640;	8;	423;	487;	477
5;	37;	21574;	0.481493;	0.485909;	1;	495;	519;	495
7;	35;	21909;	0.476545;	0.476425;	0;	603;	603;	503
5;	37;	21519;	0.481493;	0.487244;	4412;	245;	541;	487
8;	34;	21538;	0.473693;	0.468149;	0;	692;	692;	484
5;	37;	21514;	0.481493;	0.482151;	82;	374;	476;	460
2;	40;	21726;	0.487291;	0.485225;	2095;	274;	508;	466
1;	41;	21797;	0.488854;	0.488370;	2202;	269;	513;	475
4;	38;	21558;	0.483625;	0.481770;	2853;	262;	498;	466
5;	37;	21904;	0.481493;	0.481099;	9;	429;	459;	459
6;	36;	21759;	0.479139;	0.483570;	1;	467;	487;	467
7;	35;	21640;	0.476545;	0.482810;	53;	382;	472;	468
8;	34;	21897;	0.473693;	0.473490;	0;	597;	597;	471
1;	41;	21895;	0.488854;	0.479105;	1;	464;	472;	464
8;	34;	21582;	0.473693;	0.476462;	6;	457;	561;	523
4;	38;	21635;	0.483625;	0.483014;	0;	477;	477;	473
6;	36;	21917;	0.479139;	0.483917;	1773;	280;	494;	492
3;	39;	21778;	0.485553;	0.489668;	6181;	232;	488;	486
5;	37;	21907;	0.481493;	0.483727;	1041;	300;	528;	502
3;	39;	21641;	0.485553;	0.483388;	186;	349;	493;	459
2;	40;	21621;	0.487291;	0.489709;	3415;	256;	466;	454
3;	39;	21515;	0.485553;	0.486684;	944;	299;	471;	455
4;	38;	21592;	0.483625;	0.490274;	3384;	255;	445;	437
5;	37;	21832;	0.481493;	0.484289;	9058;	218;	510;	490
3;	39;	21599;	0.485553;	0.486226;	589;	316;	514;	468
4;	38;	21815;	0.483625;	0.483291;	47;	389;	557;	477
6;	36;	21547;	0.479139;	0.479046;	235;	338;	480;	480
5;	37;	21687;	0.481493;	0.482317;	2;	462;	508;	474
4;	38;	21722;	0.483625;	0.480389;	0;	577;	577;	507
3;	39;	21681;	0.485553;	0.480144;	5;	451;	481;	465
3;	39;	21356;	0.485553;	0.486795;	199;	344;	518;	470
3;	39;	21809;	0.485553;	0.491724;	176147;	44;	466;	460
6;	36;	21556;	0.479139;	0.475738;	0;	489;	489;	469
1;	41;	21829;	0.488854;	0.490586;	5011;	242;	452;	446
6;	36;	21717;	0.479139;	0.478013;	1;	489;	509;	489
4;	38;	21713;	0.483625;	0.480357;	11;	422;	460;	442
5;	37;	21746;	0.481493;	0.481422;	160;	352;	442;	440
5;	37;	21664;	0.481493;	0.484306;	922;	305;	523;	495
3;	39;	21641;	0.485553;	0.486669;	1122;	296;	518;	476
4;	38;	21517;	0.483625;	0.484175;	607;	315;	469;	463
3;	39;	21401;	0.485553;	0.479277;	17;	420;	496;	482
2;	40;	21691;	0.487291;	0.481951;	86;	367;	503;	463
5;	37;	21786;	0.481493;	0.477049;	13;	417;	469;	463
3;	39;	21728;	0.485553;	0.482603;	545;	316;	442;	434
5;	37;	21775;	0.481493;	0.477015;	0;	559;	559;	477
4;	38;	21673;	0.483625;	0.479583;	58;	386;	472;	460
4;	38;	21681;	0.483625;	0.477330;	53;	384;	452;	450
3;	39;	21781;	0.485553;	0.493871;	40836;	145;	459;	457
3;	39;	21813;	0.485553;	0.484436;	1868;	279;	493;	491
7;	35;	21830;	0.476545;	0.471965;	0;	699;	699;	535
4;	38;	21814;	0.483625;	0.481571;	3;	457;	479;	467
5;	37;	21706;	0.481493;	0.481157;	51;	386;	476;	466
4;	38;	21684;	0.483625;	0.482429;	7;	422;	472;	438
2;	40;	21497;	0.487291;	0.491185;	13297;	199;	473;	469
7;	35;	21828;	0.476545;	0.467198;	0;	707;	707;	473
8;	34;	21757;	0.473693;	0.470929;	0;	639;	639;	515
3;	39;	22059;	0.485553;	0.489143;	1279;	293;	487;	473
5;	37;	21771;	0.481493;	0.480639;	11;	429;	527;	451
2;	40;	21418;	0.487291;	0.484032;	52;	386;	468;	456
6;	36;	21719;	0.479139;	0.477462;	9;	439;	563;	501
6;	36;	21875;	0.479139;	0.481646;	4;	441;	495;	487
4;	38;	21790;	0.483625;	0.485498;	308;	338;	470;	460
5;	37;	21631;	0.481493;	0.478526;	0;	552;	552;	530
4;	38;	21518;	0.483625;	0.483177;	2285;	269;	491;	489
4;	38;	21552;	0.483625;	0.478424;	19;	411;	507;	487
4;	38;	21829;	0.483625;	0.480966;	16;	420;	476;	464
5;	37;	21525;	0.481493;	0.477863;	0;	506;	506;	478
4;	38;	21567;	0.483625;	0.478880;	7;	433;	509;	493
5;	37;	21695;	0.481493;	0.477345;	0;	482;	482;	482
2;	40;	21781;	0.487291;	0.488545;	8040;	224;	496;	488
1;	41;	21888;	0.488854;	0.489172;	4541;	245;	475;	443
7;	35;	21641;	0.476545;	0.481540;	214;	351;	475;	471
2;	40;	21625;	0.487291;	0.489249;	22054;	179;	469;	451
6;	36;	21463;	0.479139;	0.482878;	9;	412;	460;	456
5;	37;	21706;	0.481493;	0.479821;	153;	351;	501;	465
5;	37;	21716;	0.481493;	0.479094;	1;	542;	544;	542
6;	36;	21638;	0.479139;	0.482392;	0;	546;	546;	492
3;	39;	21831;	0.485553;	0.485777;	440;	321;	463;	447
7;	35;	21677;	0.476545;	0.479448;	2;	465;	541;	469
6;	36;	21692;	0.479139;	0.481883;	175;	348;	510;	500
3;	39;	21637;	0.485553;	0.483847;	8;	438;	496;	496
0;	42;	21586;	0.490257;	0.488882;	524287;	-10553;	461;	439
0;	42;	21690;	0.490257;	0.494744;	524287;	-10731;	495;	443
6;	36;	21512;	0.479139;	0.476432;	0;	555;	555;	523
2;	40;	21513;	0.487291;	0.485753;	1600;	283;	497;	463
5;	37;	21595;	0.481493;	0.481686;	0;	604;	604;	506
7;	35;	21655;	0.476545;	0.475133;	0;	645;	645;	473
5;	37;	21663;	0.481493;	0.483543;	25;	409;	547;	517
5;	37;	21385;	0.481493;	0.478747;	1024;	297;	499;	481
5;	37;	21453;	0.481493;	0.479700;	894;	301;	511;	483
4;	38;	21572;	0.483625;	0.483034;	60;	377;	565;	473
6;	36;	21669;	0.479139;	0.471642;	0;	713;	713;	559
4;	38;	21518;	0.483625;	0.480342;	41;	389;	509;	475
4;	38;	21904;	0.483625;	0.484523;	1304;	292;	462;	450
5;	37;	21636;	0.481493;	0.482298;	5;	422;	492;	470
5;	37;	21718;	0.481493;	0.472327;	0;	715;	715;	491
5;	37;	21631;	0.481493;	0.484721;	42;	389;	451;	449
6;	36;	21806;	0.479139;	0.475282;	2;	468;	500;	472
5;	37;	21375;	0.481493;	0.479345;	21;	402;	544;	490
4;	38;	21490;	0.483625;	0.485435;	842;	302;	494;	462
3;	39;	21556;	0.485553;	0.486361;	324;	332;	500;	482
7;	35;	21733;	0.476545;	0.478903;	11;	433;	521;	493
6;	36;	21646;	0.479139;	0.478426;	0;	532;	532;	500
5;	37;	21746;	0.481493;	0.485423;	67;	372;	514;	466
6;	36;	21769;	0.479139;	0.481327;	3;	430;	548;	440
5;	37;	22015;	0.481493;	0.481217;	12;	418;	534;	484
8;	34;	21800;	0.473693;	0.469128;	0;	550;	550;	472
4;	38;	21735;	0.483625;	0.479549;	29;	400;	500;	470
4;	38;	21482;	0.483625;	0.482125;	52;	380;	538;	510
2;	40;	21725;	0.487291;	0.482163;	89;	371;	541;	509
6;	36;	21482;	0.479139;	0.479145;	0;	545;	545;	499
8;	34;	21767;	0.473693;	0.473056;	0;	651;	651;	473
5;	37;	21760;	0.481493;	0.482767;	207;	349;	495;	483
6;	36;	21550;	0.479139;	0.484223;	6172;	232;	528;	522
4;	38;	21858;	0.483625;	0.485086;	437;	329;	465;	453
4;	38;	21757;	0.483625;	0.479018;	1;	453;	489;	453
6;	36;	21695;	0.479139;	0.478820;	0;	534;	534;	480
4;	38;	21674;	0.483625;	0.480530;	0;	484;	484;	472
8;	34;	21672;	0.473693;	0.472499;	0;	756;	756;	510
2;	40;	21857;	0.487291;	0.484055;	4337;	247;	481;	469
4;	38;	21549;	0.483625;	0.479512;	0;	480;	480;	464
7;	35;	21576;	0.476545;	0.473767;	0;	601;	601;	517
5;	37;	21758;	0.481493;	0.482673;	5;	436;	466;	448
3;	39;	21691;	0.485553;	0.487529;	32;	397;	469;	445
4;	38;	21585;	0.483625;	0.486217;	3056;	261;	529;	503
6;	36;	21604;	0.479139;	0.478939;	1;	476;	480;	476
4;	38;	21648;	0.483625;	0.484525;	10;	430;	538;	476
4;	38;	21635;	0.483625;	0.485879;	14;	420;	550;	536
4;	38;	21791;	0.483625;	0.483640;	11832;	207;	471;	453
2;	40;	21632;	0.487291;	0.487010;	12509;	205;	473;	465
1;	41;	21581;	0.488854;	0.484454;	60687;	123;	493;	461
3;	39;	21666;	0.485553;	0.484953;	29;	401;	485;	481
2;	40;	21704;	0.487291;	0.486777;	396;	327;	527;	465
3;	39;	21779;	0.485553;	0.485376;	21;	409;	465;	461
3;	39;	21764;	0.485553;	0.487732;	1612;	284;	514;	482
3;	39;	21559;	0.485553;	0.487685;	553;	315;	463;	457
2;	40;	21832;	0.487291;	0.490060;	1928;	276;	492;	458
5;	37;	21717;	0.481493;	0.487452;	68405;	115;	459;	459
5;	37;	21750;	0.481493;	0.478253;	0;	504;	504;	486
6;	36;	21655;	0.479139;	0.475918;	0;	523;	523;	469
4;	38;	21616;	0.483625;	0.482559;	0;	491;	491;	485
5;	37;	21769;	0.481493;	0.484496;	0;	470;	470;	468
9;	33;	21452;	0.470562;	0.474035;	0;	522;	522;	506
2;	40;	21656;	0.487291;	0.481945;	14;	414;	510;	454
4;	38;	21616;	0.483625;	0.483808;	0;	491;	491;	463
4;	38;	21902;	0.483625;	0.484842;	855;	304;	470;	462
5;	37;	22029;	0.481493;	0.477507;	0;	512;	512;	482
4;	38;	21940;	0.483625;	0.483774;	17;	411;	485;	443
5;	37;	21690;	0.481493;	0.483172;	217;	342;	480;	458
1;	41;	21413;	0.488854;	0.487881;	707;	307;	469;	467
3;	39;	21633;	0.485553;	0.484168;	1252;	292;	462;	462
4;	38;	21581;	0.483625;	0.480237;	17;	411;	521;	501
5;	37;	21699;	0.481493;	0.478916;	139;	357;	503;	481
4;	38;	21645;	0.483625;	0.492123;	37140;	152;	444;	432
3;	39;	21551;	0.485553;	0.481834;	660;	312;	472;	454
2;	40;	21842;	0.487291;	0.485578;	15400;	195;	553;	517
3;	39;	21778;	0.485553;	0.486500;	208;	346;	472;	452
5;	37;	21626;	0.481493;	0.486405;	6;	440;	474;	462
6;	36;	21640;	0.479139;	0.469824;	1;	505;	515;	505
5;	37;	21668;	0.481493;	0.480386;	43;	391;	511;	491
5;	37;	21578;	0.481493;	0.482065;	6;	436;	490;	468
3;	39;	21762;	0.485553;	0.486215;	454;	325;	471;	441
6;	36;	22032;	0.479139;	0.478395;	0;	600;	600;	522
5;	37;	21644;	0.481493;	0.478331;	1;	459;	513;	459
3;	39;	21512;	0.485553;	0.489634;	59523;	123;	507;	485
5;	37;	21764;	0.481493;	0.480564;	41;	390;	486;	470
4;	38;	21756;	0.483625;	0.482120;	0;	536;	536;	472
5;	37;	21560;	0.481493;	0.485900;	5502;	236;	522;	454
3;	39;	21492;	0.485553;	0.480644;	1;	498;	530;	498
2;	40;	21478;	0.487291;	0.485939;	154;	357;	457;	455
4;	38;	21718;	0.483625;	0.483470;	0;	459;	459;	451
7;	35;	21836;	0.476545;	0.473942;	0;	483;	483;	469
7;	35;	21662;	0.476545;	0.478903;	0;	494;	494;	480
6;	36;	21860;	0.479139;	0.478179;	201;	343;	497;	485
4;	38;	21743;	0.483625;	0.486409;	6255;	234;	514;	494
5;	37;	21725;	0.481493;	0.480230;	8;	443;	463;	461
4;	38;	21582;	0.483625;	0.485683;	49;	385;	537;	473
2;	40;	21773;	0.487291;	0.497772;	214643;	23;	457;	449
5;	37;	21573;	0.481493;	0.483243;	136;	360;	504;	462
6;	36;	21543;	0.479139;	0.485169;	14;	422;	514;	478
7;	35;	21695;	0.476545;	0.480018;	385;	330;	482;	476
1;	41;	21609;	0.488854;	0.493220;	177492;	43;	529;	463
5;	37;	21698;	0.481493;	0.480459;	0;	527;	527;	485
2;	40;	21467;	0.487291;	0.484045;	0;	513;	513;	487
4;	38;	21665;	0.483625;	0.481699;	21;	403;	525;	465
4;	38;	21552;	0.483625;	0.482600;	1;	467;	471;	467
2;	40;	21779;	0.487291;	0.483264;	3;	420;	456;	432
9;	33;	21516;	0.470562;	0.470812;	0;	620;	620;	504
4;	38;	21812;	0.483625;	0.480240;	11;	425;	521;	485
7;	35;	21521;	0.476545;	0.472562;	0;	628;	628;	482
5;	37;	21718;	0.481493;	0.481766;	1;	458;	478;	458
4;	38;	21505;	0.483625;	0.481051;	0;	471;	471;	469
6;	36;	21859;	0.479139;	0.478247;	18;	420;	476;	474
4;	38;	21652;	0.483625;	0.487068;	108;	366;	490;	450
5;	37;	21559;	0.481493;	0.479753;	1;	493;	495;	493
7;	35;	21596;	0.476545;	0.483006;	71;	374;	482;	474
4;	38;	21483;	0.483625;	0.481404;	22;	408;	492;	492
2;	40;	21537;	0.487291;	0.488926;	54527;	131;	501;	481
5;	37;	21832;	0.481493;	0.471418;	0;	765;	765;	525
4;	38;	21716;	0.483625;	0.488672;	741;	311;	483;	473
5;	37;	21680;	0.481493;	0.483902;	760;	308;	486;	468
6;	36;	21518;	0.479139;	0.476159;	0;	531;	531;	471
2;	40;	21456;	0.487291;	0.487090;	6897;	228;	452;	448
3;	39;	21708;	0.485553;	0.485720;	7095;	228;	476;	464
5;	37;	21546;	0.481493;	0.477072;	0;	509;	509;	503
6;	36;	22096;	0.479139;	0.476693;	0;	489;	489;	465
3;	39;	21593;	0.485553;	0.482008;	129;	360;	472;	452
7;	35;	21865;	0.476545;	0.476561;	0;	586;	586;	458
4;	38;	21791;	0.483625;	0.485797;	731;	312;	472;	460
4;	38;	21632;	0.483625;	0.479336;	0;	546;	546;	476
2;	40;	21569;	0.487291;	0.487366;	2594;	264;	490;	454
6;	36;	21815;	0.479139;	0.479257;	0;	493;	493;	477
5;	37;	21479;	0.481493;	0.488477;	592;	312;	446;	432
3;	39;	21797;	0.485553;	0.487774;	8076;	224;	524;	482
2;	40;	21617;	0.487291;	0.489615;	1358;	289;	491;	479
5;	37;	21857;	0.481493;	0.490735;	4011;	252;	494;	490
4;	38;	21851;	0.483625;	0.482907;	1001;	302;	496;	472
1;	41;	21556;	0.488854;	0.485804;	9;	418;	470;	466
7;	35;	21886;	0.476545;	0.476515;	0;	542;	542;	460
3;	39;	21759;	0.485553;	0.485041;	10564;	212;	514;	464
6;	36;	21619;	0.479139;	0.477034;	0;	517;	517;	485
4;	38;	21697;	0.483625;	0.487026;	46;	392;	534;	482
3;	39;	21662;	0.485553;	0.493906;	208938;	27;	503;	471
4;	38;	21525;	0.483625;	0.479350;	1;	455;	481;	455
5;	37;	21731;	0.481493;	0.479407;	0;	506;	506;	458
5;	37;	21489;	0.481493;	0.478570;	0;	562;	562;	448
4;	38;	21511;	0.483625;	0.487565;	2148;	272;	470;	468
4;	38;	21490;	0.483625;	0.482503;	354;	333;	493;	463
3;	39;	21821;	0.485553;	0.482792;	2;	459;	479;	463
5;	37;	21586;	0.481493;	0.481794;	275;	340;	480;	456
5;	37;	21745;	0.481493;	0.480294;	0;	470;	470;	448
3;	39;	21713;	0.485553;	0.484226;	53;	387;	471;	467
5;	37;	21479;	0.481493;	0.478793;	15;	408;	498;	480
4;	38;	21569;	0.483625;	0.486161;	280;	338;	488;	480
7;	35;	21757;	0.476545;	0.477685;	0;	600;	600;	492
2;	40;	21675;	0.487291;	0.489504;	17829;	189;	525;	487
4;	38;	21421;	0.483625;	0.485785;	1147;	296;	532;	510
2;	40;	21400;	0.487291;	0.482804;	25;	403;	467;	463
4;	38;	21645;	0.483625;	0.481312;	1;	482;	484;	482
2;	40;	21652;	0.487291;	0.494458;	417468;	-86;	486;	486
5;	37;	21412;	0.481493;	0.483374;	205;	344;	472;	470
7;	35;	21550;	0.476545;	0.470719;	0;	604;	604;	460
1;	41;	21661;	0.488854;	0.481464;	761;	307;	513;	465
6;	36;	21739;	0.479139;	0.471411;	0;	710;	710;	464
5;	37;	21706;	0.481493;	0.480282;	1;	481;	513;	481
7;	35;	21623;	0.476545;	0.482033;	163;	353;	485;	473
1;	41;	21790;	0.488854;	0.492152;	114634;	80;	528;	476
6;	36;	21911;	0.479139;	0.474328;	0;	576;	576;	502
7;	35;	21754;	0.476545;	0.473706;	0;	642;	642;	498
3;	39;	21760;	0.485553;	0.490487;	13597;	201;	477;	463
6;	36;	21740;	0.479139;	0.471113;	0;	705;	705;	483
4;	38;	21818;	0.483625;	0.482354;	1155;	296;	520;	472
4;	38;	21648;	0.483625;	0.482816;	744;	308;	488;	456
5;	37;	21998;	0.481493;	0.481180;	1621;	286;	524;	486
6;	36;	21841;	0.479139;	0.476077;	28;	399;	493;	487
4;	38;	21813;	0.483625;	0.480906;	588;	317;	505;	481
3;	39;	21524;	0.485553;	0.485505;	1386;	287;	507;	483
7;	35;	21698;	0.476545;	0.477832;	0;	532;	532;	492
1;	41;	21738;	0.488854;	0.490984;	5928;	235;	487;	481
4;	38;	21573;	0.483625;	0.480230;	0;	538;	538;	456
7;	35;	21669;	0.476545;	0.480364;	51;	381;	491;	445
4;	38;	21724;	0.483625;	0.479792;	5;	464;	536;	496
1;	41;	21801;	0.488854;	0.490299;	79624;	107;	477;	465
3;	39;	21745;	0.485553;	0.493355;	81864;	103;	487;	463
3;	39;	21980;	0.485553;	0.490992;	3962;	252;	470;	450
0;	42;	21854;	0.490257;	0.491580;	524287;	-10743;	467;	463
5;	37;	21683;	0.481493;	0.483374;	10;	419;	467;	463
6;	36;	21532;	0.479139;	0.483327;	119;	362;	474;	474
2;	40;	21580;	0.487291;	0.485218;	189;	348;	494;	448
6;	36;	21795;	0.479139;	0.482817;	3129;	260;	540;	476
2;	40;	21945;	0.487291;	0.493051;	72515;	113;	483;	463
4;	38;	21499;	0.483625;	0.485790;	318;	332;	506;	470
6;	36;	21769;	0.479139;	0.478065;	664;	315;	491;	471
2;	40;	21758;	0.487291;	0.491451;	14517;	198;	492;	488
2;	40;	21786;	0.487291;	0.491692;	166080;	49;	453;	443
5;	37;	21898;	0.481493;	0.486437;	7735;	225;	565;	475
4;	38;	21503;	0.483625;	0.483328;	12;	427;	517;	473
3;	39;	21587;	0.485553;	0.485246;	40;	396;	544;	534
2;	40;	21851;	0.487291;	0.486843;	382;	333;	491;	469
4;	38;	21830;	0.483625;	0.489601;	44685;	142;	468;	450
4;	38;	21754;	0.483625;	0.486255;	203;	350;	542;	502
4;	38;	21680;	0.483625;	0.488745;	657;	315;	477;	475
4;	38;	21825;	0.483625;	0.480000;	10;	422;	502;	494
7;	35;	21800;	0.476545;	0.478119;	102;	363;	475;	467
1;	41;	21742;	0.488854;	0.488594;	11384;	208;	462;	454
4;	38;	21562;	0.483625;	0.489148;	30471;	162;	484;	468
3;	39;	21579;	0.485553;	0.482182;	15;	416;	482;	454
6;	36;	21475;	0.479139;	0.475669;	0;	566;	566;	456
4;	38;	21685;	0.483625;	0.476366;	53;	386;	494;	486
4;	38;	21366;	0.483625;	0.478049;	0;	670;	670;	514
6;	36;	21741;	0.479139;	0.485258;	1594;	283;	525;	491
4;	38;	21639;	0.483625;	0.483479;	60;	381;	477;	469
4;	38;	21797;	0.483625;	0.487452;	484;	323;	469;	459
2;	40;	21807;	0.487291;	0.492594;	21747;	178;	440;	438
4;	38;	21477;	0.483625;	0.483121;	18;	403;	583;	433
5;	37;	21474;	0.481493;	0.481978;	68;	373;	545;	491
1;	41;	21941;	0.488854;	0.481883;	30;	407;	485;	479
4;	38;	21693;	0.483625;	0.486240;	7923;	224;	540;	488
3;	39;	21774;	0.485553;	0.482961;	71;	375;	455;	451
3;	39;	21504;	0.485553;	0.483166;	90;	366;	450;	444
5;	37;	21892;	0.481493;	0.478851;	0;	503;	503;	473
4;	38;	21705;	0.483625;	0.483161;	836;	305;	507;	459
5;	37;	21392;	0.481493;	0.481161;	16;	414;	462;	462
3;	39;	21716;	0.485553;	0.480705;	1;	488;	546;	488
3;	39;	21559;	0.485553;	0.490190;	10583;	211;	531;	471
4;	38;	21591;	0.483625;	0.483025;	73;	375;	481;	469
4;	38;	21564;	0.483625;	0.489009;	309;	335;	485;	455
3;	39;	22073;	0.485553;	0.491551;	37512;	150;	506;	472
3;	39;	21479;	0.485553;	0.484892;	50;	374;	520;	480
4;	38;	21831;	0.483625;	0.483624;	736;	311;	489;	477
4;	38;	21802;	0.483625;	0.483946;	62;	380;	464;	458
7;	35;	21740;	0.476545;	0.476955;	3;	463;	489;	475
4;	38;	21632;	0.483625;	0.489368;	23539;	176;	520;	510
7;	35;	21680;	0.476545;	0.479105;	3;	487;	525;	497
2;	40;	21745;	0.487291;	0.488480;	1080;	295;	453;	445
3;	39;	21591;	0.485553;	0.480293;	13;	410;	488;	458
2;	40;	21657;	0.487291;	0.491619;	241;	344;	506;	470
2;	40;	21545;	0.487291;	0.487259;	3338;	256;	472;	464
2;	40;	21790;	0.487291;	0.481781;	559;	317;	501;	477
5;	37;	21855;	0.481493;	0.480348;	1;	469;	537;	469
2;	40;	21590;	0.487291;	0.489347;	422;	324;	486;	472
5;	37;	21846;	0.481493;	0.480363;	11;	436;	480;	476
3;	39;	21637;	0.485553;	0.485372;	8632;	221;	461;	457
3;	39;	21871;	0.485553;	0.484843;	4557;	248;	486;	468
7;	35;	22058;	0.476545;	0.480098;	0;	478;	478;	474
7;	35;	21639;	0.476545;	0.479135;	7;	434;	510;	468
2;	40;	21903;	0.487291;	0.485687;	9;	433;	519;	475
1;	41;	21836;	0.488854;	0.492123;	103320;	88;	474;	464
2;	40;	21578;	0.487291;	0.487534;	1126;	292;	460;	452
4;	38;	21695;	0.483625;	0.482231;	27;	398;	488;	486
4;	38;	21766;	0.483625;	0.483001;	2;	473;	521;	475
4;	38;	21759;	0.483625;	0.482237;	10;	425;	499;	477
2;	40;	21718;	0.487291;	0.482917;	1;	476;	476;	476
1;	41;	21688;	0.488854;	0.488288;	64;	377;	477;	475
4;	38;	21692;	0.483625;	0.487230;	60;	381;	501;	491
6;	36;	21910;	0.479139;	0.475536;	0;	614;	614;	512
4;	38;	21468;	0.483625;	0.480063;	126;	357;	475;	465
4;	38;	21703;	0.483625;	0.481869;	420;	325;	479;	455
10;	32;	21631;	0.467133;	0.467477;	0;	695;	695;	487
3;	39;	21670;	0.485553;	0.483156;	711;	310;	478;	460
3;	39;	21650;	0.485553;	0.481940;	3770;	253;	487;	467
4;	38;	21683;	0.483625;	0.483282;	420;	328;	532;	526
8;	34;	21603;	0.473693;	0.472897;	0;	582;	582;	554
4;	38;	21792;	0.483625;	0.481874;	59;	383;	465;	465
8;	34;	21535;	0.473693;	0.480334;	1;	463;	479;	463
8;	34;	22112;	0.473693;	0.474539;	0;	528;	528;	488
6;	36;	21661;	0.479139;	0.475971;	0;	475;	475;	465
4;	38;	21715;	0.483625;	0.485563;	103;	365;	453;	453
1;	41;	21817;	0.488854;	0.484485;	18;	412;	472;	468
5;	37;	21689;	0.481493;	0.479782;	146;	362;	466;	464
2;	40;	21603;	0.487291;	0.489330;	2552;	263;	465;	453
5;	37;	21592;	0.481493;	0.479529;	13;	423;	537;	473
3;	39;	21675;	0.485553;	0.487336;	1284;	291;	475;	463
3;	39;	21702;	0.485553;	0.483596;	239;	343;	451;	447
4;	38;	21952;	0.483625;	0.484011;	162;	355;	483;	475
4;	38;	21524;	0.483625;	0.488292;	7701;	224;	498;	464
4;	38;	21785;	0.483625;	0.488042;	7759;	225;	463;	441
4;	38;	21303;	0.483625;	0.486692;	198;	350;	488;	460
2;	40;	21638;	0.487291;	0.489278;	466;	321;	473;	447
6;	36;	21896;	0.479139;	0.480362;	9;	427;	467;	461
2;	40;	21547;	0.487291;	0.486286;	9061;	218;	514;	468
3;	39;	21519;	0.485553;	0.483108;	6;	426;	492;	474
6;	36;	21437;	0.479139;	0.480291;	203;	344;	472;	468
5;	37;	21566;	0.481493;	0.475239;	0;	607;	607;	533
5;	37;	21576;	0.481493;	0.478124;	0;	600;	600;	456
5;	37;	21951;	0.481493;	0.475559;	2;	492;	514;	506
4;	38;	21849;	0.483625;	0.484599;	78;	373;	533;	449
8;	34;	21655;	0.473693;	0.480720;	319;	334;	452;	452
3;	39;	21685;	0.485553;	0.489647;	19630;	183;	453;	443
4;	38;	21909;	0.483625;	0.484550;	112;	371;	473;	461
5;	37;	21823;	0.481493;	0.477890;	70;	378;	506;	476
6;	36;	21665;	0.479139;	0.473898;	0;	559;	559;	491
5;	37;	21669;	0.481493;	0.483779;	2;	460;	514;	462
6;	36;	21601;	0.479139;	0.482292;	0;	570;	570;	528
4;	38;	21687;	0.483625;	0.482639;	180;	351;	509;	477
2;	40;	21817;	0.487291;	0.490718;	5703;	237;	505;	475
4;	38;	21756;	0.483625;	0.485475;	1092;	297;	525;	501
7;	35;	21471;	0.476545;	0.473057;	0;	616;	616;	520
3;	39;	21701;	0.485553;	0.483618;	1169;	296;	498;	450
5;	37;	21621;	0.481493;	0.485130;	61;	379;	485;	469
2;	40;	21808;	0.487291;	0.491196;	10818;	211;	573;	493
4;	38;	21904;	0.483625;	0.484843;	31;	394;	490;	488
5;	37;	21815;	0.481493;	0.484346;	4087;	248;	456;	448
4;	38;	21958;	0.483625;	0.485563;	254;	343;	465;	465
3;	39;	21855;	0.485553;	0.488172;	5917;	235;	509;	507
5;	37;	21571;	0.481493;	0.484493;	256;	341;	485;	467
4;	38;	21930;	0.483625;	0.484131;	496;	323;	467;	455
2;	40;	21899;	0.487291;	0.486552;	106;	367;	457;	457
3;	39;	21481;	0.485553;	0.490108;	323;	329;	459;	447
3;	39;	21923;	0.485553;	0.483784;	2180;	276;	508;	500
5;	37;	21476;	0.481493;	0.489011;	10863;	211;	587;	485
2;	40;	21516;	0.487291;	0.486522;	1591;	281;	469;	461
2;	40;	21669;	0.487291;	0.488301;	8803;	218;	502;	468
1;	41;	21740;	0.488854;	0.489696;	3233;	256;	468;	466
6;	36;	21508;	0.479139;	0.476102;	0;	539;	539;	527
3;	39;	21669;	0.485553;	0.488163;	5990;	233;	501;	443
3;	39;	21384;	0.485553;	0.487701;	2949;	260;	546;	480
5;	37;	21775;	0.481493;	0.478255;	3;	472;	496;	478
5;	37;	21654;	0.481493;	0.481851;	19;	412;	470;	468
5;	37;	21585;	0.481493;	0.481167;	8;	442;	464;	458
3;	39;	21733;	0.485553;	0.486311;	2426;	268;	474;	460
2;	40;	21536;	0.487291;	0.485931;	134;	360;	482;	472
3;	39;	21663;	0.485553;	0.483636;	2;	449;	463;	457
3;	39;	21737;	0.485553;	0.491834;	77674;	108;	468;	466
4;	38;	21728;	0.483625;	0.489691;	576;	319;	491;	485
3;	39;	21640;	0.485553;	0.486091;	160;	351;	481;	469
5;	37;	21672;	0.481493;	0.480297;	20;	409;	519;	469
1;	41;	21524;	0.488854;	0.487038;	19513;	184;	498;	470
5;	37;	21705;	0.481493;	0.486340;	29;	399;	533;	475
