|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
3;	39;	21401;	0.485553;	0.480959;	12;	413;	465;	453
5;	37;	21676;	0.481493;	0.483761;	540;	318;	480;	462
6;	36;	21909;	0.479139;	0.478297;	7;	451;	527;	511
3;	39;	21867;	0.485553;	0.491197;	11097;	209;	507;	459
4;	38;	21585;	0.483625;	0.474496;	28;	401;	485;	471
5;	37;	21768;	0.481493;	0.486816;	3771;	252;	528;	518
5;	37;	21836;	0.481493;	0.479896;	18;	407;	495;	485
5;	37;	21447;	0.481493;	0.482305;	0;	464;	464;	450
2;	40;	21627;	0.487291;	0.492163;	61989;	122;	540;	508
3;	39;	21571;	0.485553;	0.486486;	121;	362;	472;	456
5;	37;	21602;	0.481493;	0.481900;	33;	393;	471;	451
3;	39;	21709;	0.485553;	0.481551;	4;	442;	474;	456
5;	37;	21705;	0.481493;	0.473301;	0;	576;	576;	504
3;	39;	21729;	0.485553;	0.483179;	102;	367;	483;	445
4;	38;	21669;	0.483625;	0.485071;	369;	329;	485;	471
1;	41;	21868;	0.488854;	0.490488;	14939;	198;	512;	462
7;	35;	21746;	0.476545;	0.474202;	0;	506;	506;	478
3;	39;	21717;	0.485553;	0.489662;	5208;	242;	512;	476
2;	40;	21951;	0.487291;	0.491003;	5504;	239;	511;	483
4;	38;	21552;	0.483625;	0.485013;	6756;	230;	542;	526
5;	37;	21645;	0.481493;	0.484269;	37;	397;	483;	465
5;	37;	21778;	0.481493;	0.481128;	43;	384;	498;	486
5;	37;	21564;	0.481493;	0.483445;	79;	371;	459;	445
2;	40;	21772;	0.487291;	0.484843;	35;	401;	509;	491
2;	40;	21845;	0.487291;	0.489998;	5582;	239;	523;	461
5;	37;	21615;	0.481493;	0.483877;	31;	400;	490;	468
5;	37;	21683;	0.481493;	0.480469;	8;	437;	491;	481
2;	40;	21711;	0.487291;	0.488554;	145;	358;	480;	474
3;	39;	21397;	0.485553;	0.483713;	2719;	266;	478;	476
4;	38;	21505;	0.483625;	0.481469;	0;	545;	545;	485
3;	39;	21417;	0.485553;	0.483915;	469;	320;	494;	472
5;	37;	21656;	0.481493;	0.484254;	0;	589;	589;	495
5;	37;	21733;	0.481493;	0.488014;	2585;	265;	509;	509
2;	40;	21687;	0.487291;	0.483977;	1101;	295;	475;	467
5;	37;	21573;	0.481493;	0.476243;	2;	452;	484;	452
2;	40;	21614;	0.487291;	0.488618;	14380;	198;	478;	458
4;	38;	21699;	0.483625;	0.483064;	1411;	287;	495;	487
4;	38;	21953;	0.483625;	0.482349;	2;	475;	489;	489
3;	39;	21564;	0.485553;	0.484882;	206;	344;	466;	444
6;	36;	21612;	0.479139;	0.482556;	1;	447;	447;	447
5;	37;	21702;	0.481493;	0.480417;	206;	348;	512;	500
5;	37;	21623;	0.481493;	0.485779;	299;	337;	521;	485
7;	35;	21693;	0.476545;	0.480708;	86;	374;	466;	466
1;	41;	21800;	0.488854;	0.487248;	233;	344;	476;	464
3;	39;	21613;	0.485553;	0.487392;	47625;	136;	458;	458
5;	37;	21737;	0.481493;	0.483001;	9779;	215;	489;	445
6;	36;	21701;	0.479139;	0.481314;	19;	407;	475;	465
3;	39;	22013;	0.485553;	0.480035;	9;	428;	486;	480
7;	35;	21900;	0.476545;	0.480091;	8;	442;	502;	488
4;	38;	21760;	0.483625;	0.487086;	69127;	114;	512;	462
4;	38;	21402;	0.483625;	0.491496;	152593;	56;	462;	460
6;	36;	21914;	0.479139;	0.473259;	0;	618;	618;	508
2;	40;	21862;	0.487291;	0.487192;	15663;	195;	465;	463
4;	38;	21649;	0.483625;	0.483117;	78;	374;	490;	456
2;	40;	21885;	0.487291;	0.486909;	790;	308;	514;	476
6;	36;	21702;	0.479139;	0.476454;	0;	516;	516;	514
5;	37;	21592;	0.481493;	0.479344;	54;	383;	479;	477
1;	41;	21515;	0.488854;	0.492633;	6962;	229;	521;	511
2;	40;	21844;	0.487291;	0.489105;	18558;	187;	451;	445
3;	39;	21408;	0.485553;	0.480988;	7;	435;	519;	463
2;	40;	21569;	0.487291;	0.491863;	14977;	196;	492;	456
1;	41;	21833;	0.488854;	0.487015;	7238;	228;	452;	434
3;	39;	21693;	0.485553;	0.484672;	40;	398;	496;	466
7;	35;	21690;	0.476545;	0.482527;	181;	354;	484;	474
1;	41;	21954;	0.488854;	0.488430;	4213;	249;	495;	479
5;	37;	21755;	0.481493;	0.486969;	352;	327;	441;	435
6;	36;	21886;	0.479139;	0.480855;	257;	341;	487;	445
8;	34;	21853;	0.473693;	0.472338;	0;	644;	644;	472
3;	39;	21604;	0.485553;	0.489770;	2358;	268;	494;	478
4;	38;	21799;	0.483625;	0.486307;	531;	321;	485;	467
3;	39;	21422;	0.485553;	0.487676;	686;	309;	489;	467
6;	36;	21479;	0.479139;	0.476000;	7;	427;	485;	457
5;	37;	21647;	0.481493;	0.490461;	10719;	210;	450;	448
4;	38;	21713;	0.483625;	0.489753;	209;	348;	550;	486
3;	39;	21833;	0.485553;	0.486969;	3114;	260;	482;	460
2;	40;	21915;	0.487291;	0.482866;	1093;	296;	492;	468
1;	41;	21496;	0.488854;	0.490463;	1576;	281;	455;	453
5;	37;	21755;	0.481493;	0.485406;	285;	336;	480;	468
5;	37;	21495;	0.481493;	0.481414;	8;	436;	518;	462
4;	38;	21794;	0.483625;	0.483115;	372;	331;	501;	487
5;	37;	21677;	0.481493;	0.479863;	0;	537;	537;	493
9;	33;	21482;	0.470562;	0.470859;	0;	665;	665;	489
7;	35;	21550;	0.476545;	0.483619;	5;	443;	483;	463
7;	35;	21693;	0.476545;	0.474347;	0;	613;	613;	489
5;	37;	21700;	0.481493;	0.485161;	161;	350;	510;	470
2;	40;	21827;	0.487291;	0.489577;	8703;	221;	483;	451
4;	38;	21470;	0.483625;	0.483512;	4670;	242;	468;	454
5;	37;	21734;	0.481493;	0.478237;	64;	385;	469;	467
3;	39;	21737;	0.485553;	0.484289;	292;	340;	526;	488
3;	39;	21758;	0.485553;	0.480329;	1;	495;	507;	495
